city,zone,zone_type,locality
Hooghly,Hooghly,ZONE,Criper Road
Warangal,Warangal,ZONE,Lingagiri
Thiruvananthapuram,Thiruvananthapuram,ZONE,TV Chalai
Thrissur,Thrissur,ZONE,Chiyyaram
Kottayam,Kottayam,ZONE,Kanjiramattom
Tirunelveli,Tirunelveli,ZONE,Singaneri
Warangal,Warangal,ZONE,Pambapur
Thiruvananthapuram,Thiruvananthapuram,ZONE,Charupara
Thrissur,Thrissur,ZONE,Peechi
Aurangabad,Aurangabad,ZONE,Dhorkingaon
Kottayam,Kottayam,ZONE,Kappumthala
Kottayam,Kottayam,ZONE,Vadayar
Thiruvananthapuram,Thiruvananthapuram,ZONE,Karyavattom
Aurangabad,Aurangabad,ZONE,Deogaon Rangari
Lucknow,Ashiyana,ZONE,Roberts Line
Bilaspur,Bilaspur,ZONE,Lalpur
Lucknow,Hazratganj,ZONE,Zarda
Guntur,Guntur,ZONE,Sandepudi
North Goa,North Goa,ZONE,Sirsaim
Hooghly,Hooghly,ZONE,Sahaganj
Chennai,Chennai West,ZONE,Villivakkam
Tirunelveli,Tirunelveli,ZONE,Pallaikottai
Aurangabad (BH),Aurangabad (BH),ZONE,Jhari
Lucknow,Hazratganj,ZONE,New Hyderabad
Amritsar,Amritsar,ZONE,Chowk Rattan Singh
Dantewada,Dantewada,ZONE,Balood
North 24 Parganas,North 24 Parganas,ZONE,Nonachandanpukur
Kozhikode,Kozhikode,ZONE,Karuvampoyil
Thiruvananthapuram,Thiruvananthapuram,ZONE,Karimancode
Thrissur,Thrissur,ZONE,Kuttamangalam
Tawang,Zimithang,ZONE,Thingbu
Chittoor,Chittoor,ZONE,Chappidipalle
Nellore,Nellore,ZONE,Vepinapi
Madurai,Madurai,ZONE,K.Pudur
Madurai,Madurai,ZONE,Sakkarappanaickanur
Mumbai,Chembur,ZONE,Tilak Nagar
Bhopal,Central Bhopal,ZONE,MP Nagar
Hooghly,Hooghly,ZONE,Radhaballavpur
Kozhikode,Kozhikode,ZONE,Tamaracheri
Indore,Palasia,ZONE,SBI Main Branch Indore
Nellore,Nellore,ZONE,Pokkandala
Thrissur,Thrissur,ZONE,Karayamvattam
Nellore,Nellore,ZONE,Madamanur
Visakhapatnam,MVP,ZONE,Gorapalle
Tiruchirappalli,Tiruchirappalli,ZONE,Ramalinganagar South
Chittoor,Chittoor,ZONE,Horsely Hills
Chittoor,Chittoor,ZONE,Kotala
Thrissur,Thrissur,ZONE,Pallipuram
Nellore,Nellore,ZONE,Eduru
Warangal,Warangal,ZONE,Chilpur
Puducherry,Puducherry,ZONE,Mangalam
Tirunelveli,Tirunelveli,ZONE,Sankanaperi
Thiruvananthapuram,Thiruvananthapuram,ZONE,Cherunniyur
Thrissur,Thrissur,ZONE,Kunnamkulam
Nellore,Nellore,ZONE,Maramreddipalli
Allahabad,Allahabad,ZONE,Allenganj
Allahabad,Allahabad,ZONE,Bhatewra Kathar
Bilaspur,Bilaspur,ZONE,Achanakmar
Bilaspur,Bilaspur,ZONE,Chakrabhatha
Rajahmundry,Rajahmundry,ZONE,Sriramnagar
Lucknow,Ashiyana,ZONE,Manaknagar
Amritsar,Amritsar,ZONE,Tera Kalan
Mohali,Mohali,ZONE,Sialba Majri
Bhubaneswar,Bhubaneswar,ZONE,Jharapada
Bhubaneswar,Bhubaneswar,ZONE,Madanpur
